specialty,program_name,institution,city,state,accreditation_year,accreditation_date,accreditation_status,program_type,website
Internal Medicine,UC Irvine Medical Center,University of California Irvine,Orange,CA,2025,2025-09-01,Initial Accreditation,University,
Internal Medicine,United Health Centers,United Health Centers,Fresno,CA,2025,2025-04-01,Initial Accreditation,Community,
Internal Medicine,Keck School of Medicine USC,University of Southern California,Los Angeles,CA,2025,2025-04-01,Initial Accreditation,University,
Internal Medicine,Prime West / St Francis,Prime Healthcare,Los Angeles,CA,2025,2025-04-01,Initial Accreditation,Community,
Internal Medicine,Health Education Services,Health Education Services,Florida,FL,2025,2025-09-01,Initial Accreditation,Community,
Internal Medicine,University of Central Florida HCA Florida,UCF/HCA Healthcare,Orlando,FL,2025,2025-09-01,Initial Accreditation,University,
Internal Medicine,Flowers Hospital,Flowers Hospital,Dothan,AL,2025,2025-05-01,Initial Accreditation,Community,
Internal Medicine,Coffee Regional Medical Center,Coffee Regional Medical Center,Douglas,GA,2025,2025-09-01,Initial Accreditation,Community,
Internal Medicine,Tift Regional Health System,Tift Regional Health System,Tifton,GA,2025,2025-09-01,Initial Accreditation,Community,
Internal Medicine,Indiana University School of Medicine,Indiana University,Indianapolis,IN,2025,2025-04-01,Initial Accreditation,University,
Internal Medicine,South Central Regional Medical Center,South Central Regional Medical Center,Laurel,MS,2025,2025-07-01,Initial Accreditation,Community,
Internal Medicine,CarePoint Health,CarePoint Health,Newark,NJ,2025,2025-07-01,Initial Accreditation,Community,
Internal Medicine,NM Primary Care Training,New Mexico Primary Care Training,Albuquerque,NM,2025,2025-09-01,Initial Accreditation,Community,
Internal Medicine,University of North Dakota School of Medicine,University of North Dakota,Grand Forks,ND,2025,2025-04-01,Initial Accreditation,University,
Internal Medicine,Bon Secours Mercy St Elizabeth,Bon Secours Mercy Health,Youngstown,OH,2025,2025-07-01,Initial Accreditation,Community,
Internal Medicine,McLeod Regional Medical Center,McLeod Health,Florence,SC,2025,2025-04-01,Initial Accreditation,Community,
Internal Medicine,Shannon Medical Center,Shannon Health,San Angelo,TX,2025,2025-04-01,Initial Accreditation,Community,
Internal Medicine,Prime South GME,Prime Healthcare,Texas,TX,2025,2025-04-01,Initial Accreditation,Community,
Internal Medicine,Sentara Northern Virginia Medical Center,Sentara Health,Woodbridge,VA,2026,2026-06-01,Initial Accreditation,Community,
Internal Medicine,Valley Health Winchester,Valley Health,Winchester,VA,2026,2026-07-01,Initial Accreditation,Community,
Internal Medicine,Medical College of Wisconsin / ThedaCare,MCW/ThedaCare,Appleton,WI,2025,2025-09-01,Initial Accreditation,University,
Family Medicine,Sutter Health Rural,Sutter Health,CA,2026,2026-07-01,Initial Accreditation,Community,
Family Medicine,St Francis Medical Center,St Francis Medical Center,Monroe,LA,2026,2026-07-01,Initial Accreditation,Community,
Family Medicine,Fairview University of Minnesota Rural,Fairview/University of Minnesota,MN,2026,2026-07-01,Initial Accreditation,University,
Family Medicine,Independence Health Butler Memorial,Independence Health,Pittsburgh,PA,2026,2026-06-01,Initial Accreditation,Community,
Pediatrics,Kings County Hospital Center,Kings County Hospital,Brooklyn,NY,2025,2025-07-01,Initial Accreditation,Community,
Pediatrics,Driscoll Children's Hospital Rio Grande Valley,Driscoll Children's Hospital,Edinburg,TX,2026,2026-07-01,Initial Accreditation,Community
